361138#|[3603706266]|[36037]|1976-06-25|1984-09-24|1984-09-24|1984-09-24|no|||||no||||||||||||||44
360815#|[3610506310]|[36105]|1974-06-28|1984-02-27|2011-02-18|1984-02-27|no|||yes|Bronze Certified|no||||||||||||||32
361540A|[3600106354]|[36001]|1974-05-31|1983-06-15|2015-03-16|1983-06-15|no|||yes||no||||||||||||||14
360148#|[3601506475]|[36015]|1973-09-14|1981-09-30|1992-08-18|1981-09-30|no|||yes||yes|360148|1991-10-01|1996-10-01|8|10|5|C|||||||48
360038#|[3600706607]|[36007]|1974-04-12|1977-06-01|1977-06-01|1977-06-01|no|||yes||no||||||||||||||40
360039|[3600706618]|[36007]|1974-06-07|1984-01-06|1984-01-06|1984-01-06|no|||||no||||||||||||||40
361362#|[3600306717]|[36003]|1975-01-03|1982-07-16|1982-07-16|1982-07-16|no|||||no||||||||||||||2
361309#|[3601906761]|[36019]|1975-01-10|1983-08-15|2007-09-28|1983-08-15|no|||yes||no||||||||||||||20
361525#|[3606794]|[36045]|1975-01-03|1989-06-05|2014-01-08|1984-12-19|no|||||no||||||||||||||19
361489B|[3606849]|[36029]|1974-11-22|1976-06-25|2019-06-07|1976-06-25|no|||||no||||||||||||||29
361127|[3603506882]|[36035]|1974-11-22|1985-07-18|1985-07-18|1985-07-18|no|||||no||||||||||||||56
361580#|[3609506893]|[36095]|1978-01-20|1985-05-01|2004-04-02|1985-05-01|no|||||no||||||||||||||39
361650#|['BLOOMFIELD, VILLAGE OF (USE TOWN OF EAST BLOOMFIELD (CID 361298) FIRM DATED 8', '15', '83 PANELS: 0008B, 0009B, 0017B, 0020B)']|[36069]||1983-08-15||2001-02-08|no|||||no||||||||||||||26
360608#|[3607107003]|[36071]|1974-06-07|1985-11-15|2009-08-03|1985-11-15|no|||||no||||||||||||||60
361473#|[3606959]|[36105]|1974-11-15|1985-04-17|2011-02-18|1985-04-17|no|||||no||||||||||||||32
361097#|[3600307201]|[36003]|1974-11-01|1982-07-30|1982-07-30|1982-07-30|no|||||no||||||||||||||2
360026#|[3607190]|[36003]|1977-01-07|1978-11-01|1996-01-19|1978-11-01|no|||||no||||||||||||||2
360869#|[3611307234]|[36113]|1974-10-18|1986-07-03|1996-08-16|1986-07-03|no|||||no||||||||||||||18
360269|[3603307278]|[36033]|1974-09-06|1985-02-15|1985-02-15|1985-02-15|no|||||no||||||||||||||53
360519#|[3606507366]|[36065]|1974-09-06|1985-07-03|2013-09-27|1985-07-03|no|||||no||||||||||||||34
360520#|[3607355]|[36065]|1974-05-31|1985-04-17|2013-09-27|1985-04-17|no|||yes||no||||||||||||||34
360228B|[3602907454]|[36029]|1974-04-12|1981-09-30|2019-06-07|1981-09-30|no|||||no||||||||||||||29
360190B|[3602507597]|[36025]|1974-06-28|1985-05-01|2016-06-16|1985-05-01|no|||||no||||||||||||||59
361415#|[3607507674]|[36075]|1975-01-03|2013-06-18||1987-08-13|no|||||no||||||||||||||4
361207|[3610107740]|[36101]|1974-12-13|1984-09-24|1984-09-24|1984-09-24|no|||||no||||||||||||||1
361393|[3603307839]|[36033]|1975-01-17|||1985-02-14|no|||||no||||||||||||||53
360229B|[3602907894]|[36029]|1974-06-14|1984-01-06|2019-06-07|1984-01-06|no|||yes||no||||||||||||||29
361171|[3608907938]|[36089]|1975-01-03|1986-01-03|1986-01-03|1986-01-03|no|||||no||||||||||||||7
360668#|[3608070]|[36079]|1974-03-22|1986-09-18|2013-03-04|1986-09-18|no|||||no||||||||||||||30
360904#|[3608103]|[36119]|1974-06-28|1978-02-01|2007-09-28|1978-02-01|no|||||no||||||||||||||24
360521#|[3606508180]|[36065]|1974-09-06|2013-09-27|2013-09-27|1984-12-19|no|||||no||||||||||||||34
360522#|[3608169]|[36065]|1974-05-17|1982-04-15|2013-09-27|1982-04-15|no|||||no||||||||||||||34
361163|[3605508246]|[36033]|1974-11-08|||1985-03-25|no|||||no||||||||||||||53
360410#|[3605508246]|[36055]|1974-05-31|1980-06-18|2008-08-28|1980-06-18|no|||yes|Bronze Certified|no||||||||||||||38
361342#|[3608323]|[36103]|1974-10-18|1982-09-02|2009-09-25|1982-09-02|no|||||yes|361342|1993-10-01|1998-10-01|10|0|0|R|||||||9
361414|[3606908378]|[36069]|1975-01-31|1984-01-20|1984-01-20|1984-01-20|no|||||no||||||||||||||26
361128|[3603508433]|[36035]|1974-09-20|1985-01-03|1985-01-03|1985-01-03|no|||||no||||||||||||||56
361482|[3608422]|[36035]|1975-01-03|1986-04-15|1986-04-15|1986-04-15|no|||||no||||||||||||||56
360411#|[3608466]|[36055]|1974-05-31|1982-04-23|2008-08-28|1982-04-23|no|||yes||no||||||||||||||38
360134|[3608488]|[36013]|1976-08-27|||1982-10-29|no|||||no||||||||||||||52
360905#|[3608532]|[36119]|1973-07-13|1979-03-01|2007-09-28|1979-03-01|no|||||no||||||||||||||24
360392|[3605308587]|[36053]|1974-08-02|1985-04-17|1985-04-17|1985-04-17|no|||||no||||||||||||||22
365334#|[3610310000]|[36103]||1972-08-31|2009-09-25|1972-08-31|no|||yes||no||||||||||||||9
361431#|[3609510154]|[36095]|1975-01-03|1985-10-15|2004-04-02|1985-10-15|no|||||no||||||||||||||39
361063|[3604510242]|[36045]|1974-12-06|1985-06-05|1992-06-02|1985-06-05|no|||||no||||||||||||||19
361576|[3610231]|[36045]|1976-04-23|1986-03-18|1986-03-18|1986-03-18|no|||||no||||||||||||||19
361130#|[3608310275]|[36083]|1976-11-12|1980-06-04|2000-12-06|1980-06-04|no|||||no||||||||||||||41
361480|[3610286]|[36033]|1974-11-15|1986-02-19|1986-02-19|1986-02-19|no|||||no||||||||||||||53
360104#|[3601110297]|[36011]|1974-09-06|1979-04-16|2007-08-02|1979-04-16|no|||||no||||||||||||||15
361534#|[3610341]|[36119]|1976-10-29|1979-07-27|2007-09-28|1979-07-27|no|||||no||||||||||||||24
360230B|[3602911000]|[36029]|1974-06-28|1981-11-18|2019-06-07|1981-11-18|no|||yes|Bronze Certified|no||||||||||||||29
361531|[3611132]|[36097]|1976-07-30|1988-06-01|1988-06-01|1988-06-01|no|||||no||||||||||||||6
361394#|[3603311165]|[36033]|1975-01-03|1986-02-19|1986-02-19|1986-02-19|no|||||no||||||||||||||53
361479|[3611154]|[36033]|1975-01-03|||1985-02-14|no|||||no||||||||||||||53
361416A|[3607711209]|[36077]|1974-11-22|1983-10-21|2017-03-21|1983-10-21|no|||||no||||||||||||||12
361098|[3600311253]|[36003]|1974-11-08|1982-07-16|1982-07-16|1982-07-16|no|||||no||||||||||||||2
361106#|[3601311451]|[36013]|1974-10-18|1980-03-18|1993-01-20|1980-03-18|no|||||no||||||||||||||52
361445|[3611711473]|[36117]|1974-11-29|1982-07-09|1982-07-09|1982-07-09|no|||||no||||||||||||||45
361247A|[3607711528]|[36077]|1974-12-13|1983-12-23|2017-03-21|1983-12-23|no|||||no||||||||||||||12
361139|[3603711572]|[36037]|1974-12-06|1988-02-01|1988-02-01|1988-02-01|no|||||no||||||||||||||44
360286B|[3603911649]|[36039]|1974-12-20|1989-09-06|2015-06-02|1989-09-06|no|||yes||no||||||||||||||16
361411#|[3605111715]|[36051]|1975-01-10|1981-06-01|1981-06-01|1981-06-01|no|||||no||||||||||||||58
360381#|[3611704]|[36051]|1975-02-07|1981-06-01|1981-06-01|1981-06-01|no|||||no||||||||||||||58
360816#|[3610511759]|[36105]|1974-06-14|1984-03-23|2011-02-18|1984-03-23|no|||||no||||||||||||||32
360499#|[3606311803]|[36063]|1974-04-12|1983-09-30|2010-09-17|1983-09-30|no|||||no||||||||||||||46
361223|[3611511836]|[36115]|1974-10-25|1985-09-04|1985-09-04|1985-09-04|no|||||no||||||||||||||23
360883#|[3611825]|[36115]|1974-05-03|1985-04-17|2008-01-02|1985-04-17|no|||||no||||||||||||||23
360523#|[3606511858]|[36065]|1974-09-06|1985-05-01|2013-09-27|1985-05-01|no|||||no||||||||||||||34
