county_geo,geoid,name
36021,3614003,"CHATHAM, VILLAGE OF"
36021,3616050,"CLAVERACK-RED MILLS, VILLAGE OF"
36021,3602116045,"CLAVERACK, TOWN OF"
36021,3602116177,"CLERMONT, TOWN OF"
36021,36021,COLUMBIA COUNTY
36021,3618113,"COPAKE FALLS, VILLAGE OF"
36021,3618118,"COPAKE HAMLET, VILLAGE OF"
36021,3618124,"COPAKE LAKE, VILLAGE OF"
36021,3602118102,"COPAKE, TOWN OF"
36021,3618718,"COXSACKIE, VILLAGE OF"
36021,3622557,"EAST NASSAU, VILLAGE OF"
36021,3602128068,"GALLATIN, TOWN OF"
36021,3602128772,"GERMANTOWN, TOWN OF"
36021,3628761,"GERMANTOWN, VILLAGE OF"
36021,3602128871,"GHENT, TOWN OF"
36021,3628860,"GHENT, VILLAGE OF"
36021,3602130565,"GREENPORT, TOWN OF"
36021,3602134748,"HILLSDALE, TOWN OF"
36021,3602135969,"HUDSON, CITY OF"
36021,3635969,"HUDSON, VILLAGE OF"
36021,3602139573,"KINDERHOOK, TOWN OF"
36021,3639562,"KINDERHOOK, VILLAGE OF"
36021,3602142917,"LIVINGSTON, TOWN OF"
36021,3643511,"LORENZ PARK, VILLAGE OF"
36021,3602150452,"NEW LEBANON, TOWN OF"
36021,3651297,"NIVERVILLE, VILLAGE OF"
36021,3657639,"PHILMONT, VILLAGE OF"
36021,3602171443,"STOCKPORT, TOWN OF"
36021,3671718,"STOTTVILLE, VILLAGE OF"
36021,3602171850,"STUYVESANT, TOWN OF"
36021,3673057,"TACONIC SHORES, VILLAGE OF"
36021,3602173077,"TAGHKANIC, TOWN OF"
36021,3676617,"VALATIE, VILLAGE OF"
36023,3606937,"BLODGETT MILLS, VILLAGE OF"
36023,3602315748,"CINCINNATUS, TOWN OF"
36023,3602318388,"CORTLAND, CITY OF"
36023,36023,CORTLAND COUNTY
36023,3618388,"CORTLAND, VILLAGE OF"
36023,3602318421,"CORTLANDVILLE, TOWN OF"
36023,3618443,"CORTLAND WEST, VILLAGE OF"
36023,3602319499,"CUYLER, TOWN OF"
36023,3620390,"DERUYTER, VILLAGE OF"
36023,3602327496,"FREETOWN, TOWN OF"
36023,3602332160,"HARFORD, TOWN OF"
36023,3602335287,"HOMER, TOWN OF"
36023,3635276,"HOMER, VILLAGE OF"
